Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Order_DateTime,Pickup_DateTime,Pickup_Delay_Min,Distance_Km
ialx566343618,37,4.9,22.745049,75.892471,22.765049,75.912471,2022-03-19,11:30:00,11:45:00,Sunny,High,motorcycle,Urban,120,Clothing,2022-03-19 11:30:00,2022-03-19 11:45:00,15.0,3.0251492856773803
akqg208421122,34,4.5,12.913041,77.683237,13.043041,77.813237,2022-03-25,19:45:00,19:50:00,Stormy,Jam,scooter,Metropolitian,165,Electronics,2022-03-25 19:45:00,2022-03-25 19:50:00,5.0,20.18352972873287
njpu434582536,23,4.4,12.914264,77.6784,12.924264,77.6884,2022-03-19,08:30:00,08:45:00,Sandstorms,Low,motorcycle,Urban,130,Sports,2022-03-19 08:30:00,2022-03-19 08:45:00,15.0,1.5527578022553539
rjto796129700,38,4.7,11.003669,76.976494,11.053669,77.026494,2022-04-05,18:00:00,18:10:00,Sunny,Medium,motorcycle,Metropolitian,105,Cosmetics,2022-04-05 18:00:00,2022-04-05 18:10:00,10.0,7.790401360105807
zguw716275638,32,4.6,12.972793,80.249982,13.012793,80.289982,2022-03-26,13:30:00,13:45:00,Cloudy,High,scooter,Metropolitian,150,Toys,2022-03-26 13:30:00,2022-03-26 13:45:00,15.0,6.210137965623703
fxuu788413734,22,4.8,17.431668,78.408321,17.461668,78.438321,2022-03-11,21:20:00,21:30:00,Cloudy,Jam,motorcycle,Urban,130,Toys,2022-03-11 21:20:00,2022-03-11 21:30:00,10.0,4.610365144356333
njmo150975311,33,4.7,23.369746,85.33982,23.479746,85.44982,2022-03-04,19:15:00,19:30:00,Fog,Jam,scooter,Metropolitian,200,Toys,2022-03-04 19:15:00,2022-03-04 19:30:00,15.0,16.600361127913082
jvjc772545076,35,4.6,12.352058,76.60665,12.482058,76.73665,2022-03-14,17:25:00,17:30:00,Cloudy,Medium,motorcycle,Metropolitian,160,Snacks,2022-03-14 17:25:00,2022-03-14 17:30:00,5.0,20.20525323529313
uaeb808891380,22,4.8,17.433809,78.386744,17.563809,78.516744,2022-03-20,20:55:00,21:05:00,Stormy,Jam,motorcycle,Metropolitian,170,Electronics,2022-03-20 20:55:00,2022-03-20 21:05:00,10.0,19.97552008622187
bgvc052754213,36,4.2,30.327968,78.046106,30.397968,78.116106,2022-02-12,21:55:00,22:10:00,Fog,Jam,motorcycle,Metropolitian,230,Toys,2022-02-12 21:55:00,2022-02-12 22:10:00,15.0,10.280582064622465
vmau710398846,21,4.7,10.003064,76.307589,10.043064,76.347589,2022-02-13,14:55:00,15:05:00,Stormy,High,motorcycle,Metropolitian,115,Cosmetics,2022-02-13 14:55:00,2022-02-13 15:05:00,10.0,6.242318682700942
lcwn330553507,23,4.7,18.56245,73.916619,18.65245,74.006619,2022-03-04,17:30:00,17:40:00,Sandstorms,Medium,scooter,Metropolitian,105,Shoes,2022-03-04 17:30:00,2022-03-04 17:40:00,10.0,13.787860239172238
wcjs752046999,34,4.3,30.899584,75.809346,30.919584,75.829346,2022-02-13,09:20:00,09:30:00,Sandstorms,Low,motorcycle,Metropolitian,100,Apparel,2022-02-13 09:20:00,2022-02-13 09:30:00,10.0,2.930257800762021
blhl288691670,24,4.7,26.463504,80.372929,26.593504,80.502929,2022-02-14,19:50:00,20:05:00,Fog,Jam,scooter,Metropolitian,205,Jewelry,2022-02-14 19:50:00,2022-02-14 20:05:00,15.0,19.39661829066188
zyvo118176215,29,4.5,19.176269,72.836721,19.266269,72.926721,2022-04-02,20:25:00,20:35:00,Sandstorms,Jam,van,Metropolitian,100,Outdoors,2022-04-02 20:25:00,2022-04-02 20:35:00,10.0,13.763977224427299
uhfs888375680,35,4.0,12.311072,76.654878,12.351072,76.694878,2022-03-01,14:55:00,15:10:00,Windy,High,scooter,Metropolitian,33,Grocery,2022-03-01 14:55:00,2022-03-01 15:10:00,15.0,6.218001190187312
vmfv999642595,33,4.2,18.592718,73.773572,18.702718,73.883572,2022-03-16,20:30:00,20:40:00,Sandstorms,Jam,motorcycle,Metropolitian,200,Cosmetics,2022-03-16 20:30:00,2022-03-16 20:40:00,10.0,16.849939918016943
qfgc848777135,34,4.9,17.426228,78.407495,17.496228,78.477495,2022-03-20,20:40:00,20:50:00,Cloudy,Jam,motorcycle,Metropolitian,205,Snacks,2022-03-20 20:40:00,2022-03-20 20:50:00,10.0,10.757108800258175
vwmc439983136,21,4.7,22.552672,88.352885,22.582672,88.382885,2022-02-15,21:15:00,21:30:00,Windy,Jam,motorcycle,Urban,75,Jewelry,2022-02-15 21:15:00,2022-02-15 21:30:00,15.0,4.540574388730574
ntzy027061451,25,4.1,18.563934,73.915367,18.643935,73.995367,2022-03-16,20:20:00,20:25:00,Sandstorms,Jam,motorcycle,Metropolitian,180,Toys,2022-03-16 20:20:00,2022-03-16 20:25:00,5.0,12.25607644546856
pbjm971961647,31,4.7,23.357804,85.325146,23.487804,85.455146,2022-03-10,22:30:00,22:45:00,Sandstorms,Low,van,Metropolitian,130,Books,2022-03-10 22:30:00,2022-03-10 22:45:00,15.0,19.61873934880106
kjic578711491,37,5.0,11.003669,76.976494,11.013669,76.986494,2022-03-11,08:15:00,08:30:00,Sandstorms,Low,motorcycle,Metropolitian,100,Clothing,2022-03-11 08:15:00,2022-03-11 08:30:00,15.0,1.5581322655562497
rkzt648036688,33,4.3,12.986047,80.218114,13.116047,80.348114,2022-03-27,19:30:00,19:45:00,Windy,Jam,scooter,Metropolitian,195,Snacks,2022-03-27 19:30:00,2022-03-27 19:45:00,15.0,20.18063511411397
segh259958026,25,4.0,19.221315,72.862381,19.261315,72.902381,2022-03-26,12:25:00,12:30:00,Cloudy,High,motorcycle,Metropolitian,170,Jewelry,2022-03-26 12:25:00,2022-03-26 12:30:00,5.0,6.116971669681921
owvs520891091,29,4.5,13.005801,80.250744,13.115801,80.360744,2022-03-27,18:35:00,18:50:00,Sunny,Medium,van,Metropolitian,75,Outdoors,2022-03-27 18:35:00,2022-03-27 18:50:00,15.0,17.075594401072465
